episode,reward,avg_reward,policy_loss,contrastive_loss,reconstruction_loss,entropy,success,tether_violations,collisions,avg_distance,hyperparams,cumulative_reward,out_of_tether_count,steps_taken,communication_count,timestamp,num_episodes,algorithm
17,-8579950,-85799.5,-8265576.5,-8265576.5,1.3773046731948853,-0.0,False,100,0,6.9,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-6500.0,5,1,1,2025-04-08 14:32:33,50,MAPPO
18,5050,50.5,3260.969482421875,3260.969482421875,1.873947262763977,-0.0,False,0,0,1.01,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-9951.0,0,1,1,2025-04-08 14:32:33,50,MAPPO
19,-8571040,-85710.4,-8262630.5,-8262630.5,1.7504955530166626,-0.0,False,100,0,8.79,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-282910.0,105,1,1,2025-04-08 14:32:33,50,MAPPO
20,5050,50.5,3260.17236328125,3260.17236328125,1.4996075630187988,8.528123648196789e-38,False,0,0,1.0,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-10000.0,0,1,1,2025-04-08 14:32:33,50,MAPPO
21,-8579950,-85799.5,-8265577.5,-8265577.5,1.3815581798553467,9.44600972410015e-36,False,100,0,3.99,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-257500.0,100,1,1,2025-04-08 14:32:33,50,MAPPO
22,5050,50.5,3260.969482421875,3260.969482421875,1.873947262763977,-0.0,False,0,0,1.0,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-9951.0,0,1,1,2025-04-08 14:32:33,50,MAPPO
23,5050,50.5,3257.08056640625,3257.08056640625,1.8723020553588867,1.771349524542272e-21,False,0,0,1.01,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-237803.0,96,1,1,2025-04-08 14:32:33,50,MAPPO
24,5050,50.5,3260.26171875,3260.26171875,1.871702790260315,4.1717124893803915e-32,False,0,0,1.01,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-9853.0,0,1,1,2025-04-08 14:32:33,50,MAPPO
25,5050,50.5,3260.969482421875,3260.969482421875,1.873947262763977,-0.0,False,0,0,2.0,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-10000.0,0,1,1,2025-04-08 14:32:33,50,MAPPO
26,-90510,-905.1,-44549.4453125,-44549.4453125,1.3773046731948853,-0.0,False,100,0,6.9,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-10260.0,4,1,1,2025-04-08 14:32:33,50,MAPPO
27,5050,50.5,3260.17236328125,3260.17236328125,1.4996075630187988,8.52929569423235e-38,False,0,0,1.0,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-10000.0,0,1,1,2025-04-08 14:32:33,50,MAPPO
28,-45450,-454.5,-29487.615234375,-29487.615234375,1.871702790260315,4.1717124893803915e-32,False,0,0,1.0,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-6000.0,0,1,1,2025-04-08 14:32:33,50,MAPPO
29,5050,50.5,3260.26171875,3260.26171875,1.871702790260315,4.1717124893803915e-32,False,0,0,2.0,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-995050.0,199,1,1,2025-04-08 14:32:33,50,MAPPO
